Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
when should I see a GP instead of going to emergency,Informational,Low,Blog,Awareness,Very high volume - common safety question
what is the difference between a GP and a specialist,Informational,Low,Blog,Awareness,Common confusion for new patients
how do I find a GP accepting new patients in Perth,Informational,Low,Blog,Awareness,Very high intent from people new to Perth
how often should I see my GP,Informational,Low,Blog,Awareness,Broad preventative health topic
what should I tell my GP at my first appointment,Informational,Low,Blog,Awareness,Great new patient reassurance content
what happens if I miss my GP recall appointment,Informational,Low,Blog,Awareness,Directly relates to WFP recall service
how long does a skin check take,Informational,Low,Blog,Consideration,Pre-appointment research question
what does a skin check look for,Informational,Low,Blog,Consideration,Education content before booking
how often should I get a skin check in Australia,Informational,Low,Blog,Consideration,Strong seasonal search - summer spike in WA
when should I get a skin check,Informational,Low,Blog,Consideration,High volume especially in WA due to sun exposure
what is the difference between a skin check and a mole check,Informational,Low,Blog,Consideration,Common confusion - good FAQ content
what do I need to bring to a skin check appointment,Informational,Low,Blog,Consideration,Pre-appointment practical question
can a GP remove a mole,Informational,Low,Blog,Consideration,Matches WFP minor surgery service
how does a mental health care plan work in Australia,Informational,Low,Blog,Consideration,Very high search volume nationally
how many sessions does a mental health care plan cover,Informational,Low,Blog,Consideration,Specific Medicare question - very common
who is eligible for a mental health care plan,Informational,Low,Blog,Consideration,Gateway question before booking
how do I get a mental health care plan in WA,Informational,Low,Blog,Consideration,State specific - strong local relevance
what is the difference between bulk billing and private billing,Informational,Low,Blog,Consideration,Extremely common Australian healthcare question
why do some GPs not bulk bill,Informational,Low,Blog,Consideration,Great opinion piece - WFP is private billing
how much does a GP appointment cost without bulk billing,Informational,Low,Blog,Consideration,High volume - fee transparency content
what vaccinations do I need before travelling to Africa,Informational,Low,Blog,Consideration,Ties to WFP yellow fever vaccination service
what vaccinations do I need before travelling to South America,Informational,Low,Blog,Consideration,Ties to WFP yellow fever vaccination service
how far in advance should I see a travel doctor,Informational,Low,Blog,Consideration,Pre-travel planning research question
what does a travel medicine appointment include,Informational,Low,Blog,Consideration,Matches WFP travel medicine service
how do I get a WorkCover certificate in WA,Informational,Low,Blog,Consideration,WA specific - matches WFP WorkCover service
what does a GP do for WorkCover,Informational,Low,Blog,Consideration,Common employer and patient question
how does IUD insertion work,Informational,Low,Blog,Consideration,Family planning education content
what is the difference between IUD and Implanon,Informational,Low,Blog,Consideration,Very common family planning comparison search
how long does an IUD last,Informational,Low,Blog,Consideration,Pre-procedure research question
what is a pulmonary function test used for,Informational,Low,Blog,Consideration,Matches WFP diagnostic service
what does a 24 hour blood pressure monitor show,Informational,Low,Blog,Consideration,Matches WFP 24 hour BP monitoring service
how do I request a referral from my GP,Informational,Low,Blog,Consideration,Matches WFP referral request policy
can I get a referral without an appointment,Informational,Low,Blog,Consideration,WFP charges $25 - good honest content opportunity
what is the after hours GP service in Perth,Informational,Low,Blog,Decision,Matches Night Doctor service WFP uses
how do I see a doctor after hours in Woodlands Perth,Informational,Low,Blog,Decision,Hyper local - direct WFP after hours content
how do I know if a mole is cancerous,Informational,Low,Blog,Adjacent,Skin check gateway - very high WA search volume
what does ABCDE mean for skin cancer,Informational,Low,Blog,Adjacent,Skin check education - low competition high value
how do I do a self skin check at home,Informational,Low,Blog,Adjacent,Skin check gateway content
is skin cancer common in Perth,Informational,Low,Blog,Adjacent,WA specific - very relevant local content
how often should I check my skin for cancer,Informational,Low,Blog,Adjacent,Preventative health adjacent - seasonal in WA
what are the early signs of depression,Informational,Low,Blog,Adjacent,Mental health gateway - very high search volume
how do I know if I need to see a psychologist or a GP,Informational,Low,Blog,Adjacent,Mental health care plan gateway content
what happens at a mental health review appointment,Informational,Low,Blog,Adjacent,Follow up care content - WFP mental health service
how long does it take to get a mental health care plan,Informational,Low,Blog,Adjacent,Practical question before booking
can a GP prescribe antidepressants in Australia,Informational,Low,Blog,Adjacent,Mental health adjacent - very high search volume
what is the difference between stress and anxiety,Informational,Low,Blog,Adjacent,Mental health adjacent - very broad appeal
how do I talk to my doctor about feeling depressed,Informational,Low,Blog,Adjacent,Reduces barrier to mental health appointment
what should I eat before a blood test,Informational,Low,Blog,Adjacent,Pathology collection adjacent - very high volume
how long do blood test results take in Australia,Informational,Low,Blog,Adjacent,Pathology adjacent - common patient question
what does a full blood count test for,Informational,Low,Blog,Adjacent,Pathology education adjacent to WFP onsite pathology
do I need to fast before a cholesterol test,Informational,Low,Blog,Adjacent,Pathology collection adjacent - very common question
what is a normal blood pressure reading,Informational,Low,Blog,Adjacent,24 hour BP monitoring adjacent - very high volume
how do I lower my blood pressure naturally,Informational,Low,Blog,Adjacent,Disease management adjacent - very high search volume
what is a normal resting heart rate,Informational,Low,Blog,Adjacent,ECG and Holter monitoring adjacent content
how do I know if I have a heart problem,Informational,Low,Blog,Adjacent,ECG testing gateway content - high search volume
what causes shortness of breath when exercising,Informational,Low,Blog,Adjacent,Pulmonary function test gateway content
what is the difference between type 1 and type 2 diabetes,Informational,Low,Blog,Adjacent,Disease management adjacent - very high search volume
how do I manage my diabetes day to day,Informational,Low,Blog,Adjacent,Chronic disease management adjacent
what are the symptoms of thyroid problems,Informational,Low,Blog,Adjacent,Disease management adjacent - high search volume
how do I know if I have anaemia,Informational,Low,Blog,Adjacent,Pathology and blood test adjacent
what causes joint pain and when should I see a doctor,Informational,Low,Blog,Adjacent,Sports medicine and general medicine adjacent
how long should a sports injury take to heal,Informational,Low,Blog,Adjacent,Sports medicine adjacent - practical question
when is it safe to return to sport after injury,Informational,Low,Blog,Adjacent,Sports medicine service gateway content
